"Name","RefCount"
"string","int"
"sc/effects.sc",5017
"sc/effects_brawler.sc",61835
"sc/effects_brawler2.sc",683
"sc/effects_brawler_8bit.sc",156
"sc/effects_brawler_alli.sc",129
"sc/effects_brawler_amber.sc",126
"sc/effects_brawler_angelo.sc",179
"sc/effects_brawler_barley.sc",120
"sc/effects_brawler_bea.sc",31
"sc/effects_brawler_belle.sc",98
"sc/effects_brawler_berry.sc",86
"sc/effects_brawler_bibi.sc",66
"sc/effects_brawler_bo.sc",105
"sc/effects_brawler_bonnie.sc",115
"sc/effects_brawler_brock.sc",87
"sc/effects_brawler_bull.sc",197
"sc/effects_brawler_buster.sc",25
"sc/effects_brawler_buzz.sc",78
"sc/effects_brawler_byron.sc",71
"sc/effects_brawler_carl.sc",71
"sc/effects_brawler_charlie.sc",140
"sc/effects_brawler_chester.sc",152
"sc/effects_brawler_chuck.sc",12
"sc/effects_brawler_clancy.sc",81
"sc/effects_brawler_colette.sc",29
"sc/effects_brawler_colt.sc",72
"sc/effects_brawler_cordelius.sc",37
"sc/effects_brawler_crow.sc",309
"sc/effects_brawler_darryl.sc",44
"sc/effects_brawler_doug.sc",112
"sc/effects_brawler_draco.sc",43
"sc/effects_brawler_dynamike.sc",151
"sc/effects_brawler_edgar.sc",48
"sc/effects_brawler_elprimo.sc",50
"sc/effects_brawler_emz.sc",71
"sc/effects_brawler_fang.sc",111
"sc/effects_brawler_finx.sc",207
"sc/effects_brawler_frank.sc",212
"sc/effects_brawler_gale.sc",169
"sc/effects_brawler_gigi.sc",160
"sc/effects_brawler_glowbert.sc",133
"sc/effects_brawler_gray.sc",148
"sc/effects_brawler_griff.sc",143
"sc/effects_brawler_grom.sc",85
"sc/effects_brawler_gus.sc",157
"sc/effects_brawler_hank.sc",17
"sc/effects_brawler_jacky.sc",22
"sc/effects_brawler_jaeyong.sc",150
"sc/effects_brawler_janet.sc",37
"sc/effects_brawler_jessie.sc",82
"sc/effects_brawler_juju.sc",8
"sc/effects_brawler_kaze.sc",161
"sc/effects_brawler_kenji.sc",108
"sc/effects_brawler_kit.sc",20
"sc/effects_brawler_larrylawrie.sc",88
"sc/effects_brawler_leon.sc",154
"sc/effects_brawler_lily.sc",127
"sc/effects_brawler_lumi.sc",277
"sc/effects_brawler_maisie.sc",32
"sc/effects_brawler_mandy.sc",133
"sc/effects_brawler_max.sc",29
"sc/effects_brawler_meeple.sc",8
"sc/effects_brawler_meg.sc",175
"sc/effects_brawler_melodie.sc",172
"sc/effects_brawler_mico.sc",43
"sc/effects_brawler_mina.sc",390
"sc/effects_brawler_moe.sc",22
"sc/effects_brawler_mortis.sc",82
"sc/effects_brawler_mrp.sc",59
"sc/effects_brawler_najia.sc",96
"sc/effects_brawler_nani.sc",98
"sc/effects_brawler_nita.sc",153
"sc/effects_brawler_ollie.sc",50
"sc/effects_brawler_pam.sc",14
"sc/effects_brawler_pearl.sc",46
"sc/effects_brawler_penny.sc",263
"sc/effects_brawler_pierce.sc",181
"sc/effects_brawler_piper.sc",363
"sc/effects_brawler_poco.sc",102
"sc/effects_brawler_rico.sc",198
"sc/effects_brawler_rt.sc",58
"sc/effects_brawler_ruffs.sc",36
"sc/effects_brawler_sam.sc",83
"sc/effects_brawler_sandy.sc",68
"sc/effects_brawler_shade.sc",142
"sc/effects_brawler_shelly.sc",8
"sc/effects_brawler_sirius.sc",83
"sc/effects_brawler_spike.sc",163
"sc/effects_brawler_sprout.sc",234
"sc/effects_brawler_squeak.sc",53
"sc/effects_brawler_stu.sc",37
"sc/effects_brawler_surge.sc",83
"sc/effects_brawler_tara.sc",144
"sc/effects_brawler_tick.sc",70
"sc/effects_brawler_trunk.sc",334
"sc/effects_brawler_willow.sc",128
"sc/effects_brawler_ziggy.sc",131
"sc/ui.sc",20
